Date,Open,High,Low,Close,Adj Close,Volume
14-06-2021,127.82,130.539993,127.07,130.479996,128.968674,96906500
15-06-2021,129.940002,130.600006,129.389999,129.639999,128.138397,62746300
16-06-2021,130.369995,130.889999,128.460007,130.149994,128.642471,91815000
17-06-2021,129.800003,132.550003,129.649994,131.789993,130.263489,96721700
18-06-2021,130.710007,131.509995,130.240005,130.460007,128.948914,108953300
21-06-2021,130.300003,132.410004,129.210007,132.300003,130.767609,79663300
22-06-2021,132.130005,134.080002,131.619995,133.979996,132.428131,74783600
23-06-2021,133.770004,134.320007,133.229996,133.699997,132.151398,60214200
24-06-2021,134.449997,134.639999,132.929993,133.410004,131.864731,68711000
25-06-2021,133.460007,133.889999,132.809998,133.110001,131.568207,70783700
28-06-2021,133.410004,135.25,133.350006,134.779999,133.218857,62111300
29-06-2021,134.800003,136.490005,134.350006,136.330002,134.750916,64556100
30-06-2021,136.169998,137.410004,135.869995,136.960007,135.373611,63261400
01-07-2021,136.600006,137.330002,135.759995,137.270004,135.680023,52485800
02-07-2021,137.899994,140,137.75,139.960007,138.338867,78852600
06-07-2021,140.070007,143.149994,140.070007,142.020004,140.375015,108181800
07-07-2021,143.539993,144.889999,142.660004,144.570007,142.895477,104911600
08-07-2021,141.580002,144.059998,140.669998,143.240005,141.580872,105575500
09-07-2021,142.75,145.649994,142.649994,145.110001,143.429214,99890800
12-07-2021,146.210007,146.320007,144,144.5,142.826248,76299700
13-07-2021,144.029999,147.460007,143.630005,145.639999,143.953079,100827100
14-07-2021,148.100006,149.570007,147.679993,149.149994,147.422409,127050800
15-07-2021,149.240005,150,147.089996,148.479996,146.760178,106820300
16-07-2021,148.460007,149.759995,145.880005,146.389999,144.694366,93251400
19-07-2021,143.75,144.070007,141.669998,142.449997,140.800034,121434600
20-07-2021,143.460007,147.100006,142.960007,146.149994,144.457153,96350000
21-07-2021,145.529999,146.130005,144.630005,145.399994,143.715851,74993500
22-07-2021,145.940002,148.199997,145.809998,146.800003,145.09964,77338200
23-07-2021,147.550003,148.720001,146.919998,148.559998,146.839279,71447400
26-07-2021,148.270004,149.830002,147.699997,148.990005,147.264282,72434100
27-07-2021,149.119995,149.210007,145.550003,146.770004,145.069992,104818600
28-07-2021,144.809998,146.970001,142.539993,144.979996,143.300705,118931200
29-07-2021,144.690002,146.550003,144.580002,145.639999,143.953079,56699500
30-07-2021,144.380005,146.330002,144.110001,145.860001,144.170532,70440600
02-08-2021,146.360001,146.949997,145.25,145.520004,143.834473,62880000
03-08-2021,145.809998,148.039993,145.179993,147.360001,145.653137,64786600
04-08-2021,147.270004,147.789993,146.279999,146.949997,145.247894,56368300
05-08-2021,146.979996,147.839996,146.169998,147.059998,145.356628,46397700
06-08-2021,146.350006,147.110001,145.630005,146.139999,144.663727,54126800
09-08-2021,146.199997,146.699997,145.520004,146.089996,144.614197,48908700
10-08-2021,146.440002,147.710007,145.300003,145.600006,144.129166,69023100
11-08-2021,146.050003,146.720001,145.529999,145.860001,144.38652,48493500
12-08-2021,146.190002,149.050003,145.839996,148.889999,147.38591,72282600
13-08-2021,148.970001,149.440002,148.270004,149.100006,147.593796,59375000
16-08-2021,148.539993,151.190002,146.470001,151.119995,149.593369,103296000
17-08-2021,150.229996,151.679993,149.089996,150.190002,148.672775,92229700
18-08-2021,149.800003,150.720001,146.149994,146.360001,144.881485,86326000
19-08-2021,145.029999,148,144.5,146.699997,145.218033,86960300
20-08-2021,147.440002,148.5,146.779999,148.190002,146.693008,60549600
23-08-2021,148.309998,150.190002,147.889999,149.710007,148.197647,60131800
24-08-2021,149.449997,150.860001,149.149994,149.619995,148.108551,48606400
25-08-2021,149.809998,150.320007,147.800003,148.360001,146.861282,58991300
26-08-2021,148.350006,149.119995,147.509995,147.539993,146.049561,48597200
27-08-2021,147.479996,148.75,146.830002,148.600006,147.098862,55802400
30-08-2021,149,153.490005,148.610001,153.119995,151.573196,90956700
31-08-2021,152.660004,152.800003,151.289993,151.830002,150.296234,86453100
01-09-2021,152.830002,154.979996,152.339996,152.509995,150.969345,80313700
02-09-2021,153.869995,154.720001,152.399994,153.649994,152.097824,71115500
03-09-2021,153.759995,154.630005,153.089996,154.300003,152.741257,57808700
07-09-2021,154.970001,157.259995,154.389999,156.690002,155.107117,82278300
08-09-2021,156.979996,157.039993,153.979996,155.110001,153.543091,74420200
09-09-2021,155.490005,156.110001,153.949997,154.070007,152.513596,57305700
10-09-2021,155,155.479996,148.699997,148.970001,147.465103,140893200
13-09-2021,150.630005,151.419998,148.75,149.550003,148.039261,102404300
14-09-2021,150.350006,151.070007,146.910004,148.119995,146.623688,109296300
15-09-2021,148.559998,149.440002,146.369995,149.029999,147.524506,83281300
16-09-2021,148.440002,148.970001,147.220001,148.789993,147.286926,68034100
17-09-2021,148.820007,148.820007,145.759995,146.059998,144.584488,129868800
20-09-2021,143.800003,144.839996,141.270004,142.940002,141.496048,123478900
21-09-2021,143.929993,144.600006,142.779999,143.429993,141.981049,75834000
22-09-2021,144.449997,146.429993,143.699997,145.850006,144.376633,76404300
23-09-2021,146.649994,147.080002,145.639999,146.830002,145.34671,64838200
24-09-2021,145.660004,147.470001,145.559998,146.919998,145.435806,53477900
27-09-2021,145.470001,145.960007,143.820007,145.369995,143.901489,74150700
28-09-2021,143.25,144.75,141.690002,141.910004,140.47644,108972300
29-09-2021,142.470001,144.449997,142.029999,142.830002,141.387146,74602000
30-09-2021,143.660004,144.380005,141.279999,141.5,140.070587,89056700
01-10-2021,141.899994,142.919998,139.110001,142.649994,141.208923,94639600
04-10-2021,141.759995,142.210007,138.270004,139.139999,137.734406,98322000
05-10-2021,139.490005,142.240005,139.360001,141.110001,139.684525,80861100
06-10-2021,139.470001,142.149994,138.369995,142,140.565536,83221100
07-10-2021,143.059998,144.220001,142.720001,143.289993,141.842499,61732700
08-10-2021,144.029999,144.179993,142.559998,142.899994,141.456406,58773200
11-10-2021,142.270004,144.809998,141.809998,142.809998,141.367325,64452200
12-10-2021,143.229996,143.25,141.039993,141.509995,140.08046,73035900
13-10-2021,141.240005,141.399994,139.199997,140.910004,139.486542,78762700
14-10-2021,142.110001,143.880005,141.509995,143.759995,142.307755,69907100
15-10-2021,143.770004,144.899994,143.509995,144.839996,143.376831,67940300
18-10-2021,143.449997,146.839996,143.160004,146.550003,145.069595,85589200
19-10-2021,147.009995,149.169998,146.550003,148.759995,147.257233,76378900
20-10-2021,148.699997,149.75,148.119995,149.259995,147.752182,58418800
21-10-2021,148.809998,149.639999,147.869995,149.479996,147.969971,61421000
22-10-2021,149.690002,150.179993,148.639999,148.690002,147.187958,58883400
25-10-2021,148.679993,149.369995,147.619995,148.639999,147.138458,50720600
26-10-2021,149.330002,150.839996,149.009995,149.320007,147.8116,60893400
27-10-2021,149.360001,149.729996,148.490005,148.850006,147.346329,56094900
28-10-2021,149.820007,153.169998,149.720001,152.570007,151.028763,100077900
29-10-2021,147.220001,149.940002,146.410004,149.800003,148.286743,124953200
01-11-2021,148.990005,149.699997,147.800003,148.960007,147.455215,74588300
02-11-2021,148.660004,151.570007,148.649994,150.020004,148.504517,69122000
03-11-2021,150.389999,151.970001,149.820007,151.490005,149.959686,54511500
04-11-2021,151.580002,152.429993,150.639999,150.960007,149.435028,60394600
05-11-2021,151.889999,152.199997,150.059998,151.279999,149.970352,65463900
08-11-2021,151.410004,151.570007,150.160004,150.440002,149.137604,55020900
09-11-2021,150.199997,151.429993,150.059998,150.809998,149.504395,56787900
10-11-2021,150.020004,150.130005,147.850006,147.919998,146.639404,65187100
11-11-2021,148.960007,149.429993,147.679993,147.869995,146.589859,41000000
12-11-2021,148.429993,150.399994,147.479996,149.990005,148.691528,63804000
15-11-2021,150.369995,151.880005,149.429993,150,148.701431,59222800
